final_rank,kepoi_name,kepid,planet_probability,earthlike_score,catalog_status,koi_prad,koi_insol,koi_teq,koi_period,koi_steff,koi_srad,koi_smass,f_rho_ratio,f_duration_ratio,f_duration_unphysical,f_depth_ratio,f_log_rho_ratio,f_impact_discrepancy,density_consistent,duration_consistent,depth_consistent,overall_physics_consistent
1,K02717.01,10002717,1.0,0.9292057935551556,CANDIDATE,1.2083058396321822,0.865475962185622,245.55449177006267,248.75291545134465,5511.125018714733,0.7139910257915002,0.7384540519105681,1.1524150383917422,0.763865673665224,False,1.132709308414357,0.0616089169529922,0.0395793075266699,True,True,True,True
2,K01378.01,10001378,0.988,0.9105518726964221,CANDIDATE,1.121468873659598,0.6014034706950896,224.1948399921387,477.98438346140455,5566.290935492975,0.9966705168148636,0.997002965677692,0.904896956926715,0.6062528179592046,False,1.0982158238861952,-0.0434008722710291,0.0160822047318945,True,True,True,True
3,K02177.01,10002177,1.0,0.9016310715578939,CONFIRMED,1.1902596968401171,1.026426497537523,256.2513098432598,97.81475566261062,4227.842261576633,0.7070655803828139,0.7320044594887265,0.996292072099248,0.851989463253094,False,1.181921490923775,-0.001613325525823,0.0017217571325515,True,True,True,True
4,K02379.01,10002379,0.998,0.8987211561739014,CONFIRMED,1.0720978506422971,1.4943228006953169,281.4785051911828,191.45275272036423,4639.153767781274,1.3444366842336837,,0.8876106226266637,0.9346468310151244,False,1.2364576796555398,-0.0517775089180174,0.1228344682255245,True,True,True,True
5,K00872.02,10000872,0.998,0.8976495723880715,CANDIDATE,1.248069599097755,0.8660595313161401,245.59587414472955,279.306360089932,5508.597057631162,0.7987078659692299,0.816862887815167,1.1510050053274163,1.0311029754134218,False,1.2420058962842202,0.0610772122321814,0.1788195035870515,True,True,True,True
6,K02224.02,10002224,0.996,0.8905056874190713,CANDIDATE,1.164073618938562,0.9914082046588838,254.03716497849595,103.6482136867844,4428.4848974980205,0.6384376880813143,0.6677388804227734,0.7227368007117724,0.8325478725794936,False,1.215165016010027,-0.1410198310725753,0.1806704536981009,True,True,True,True
7,K01084.03,10001084,0.988,0.8339587940813851,CONFIRMED,1.2290208690671056,1.648195456170893,288.4604710547942,53.17506998405094,4328.359523001012,0.5189517912128316,0.5541333821717987,0.9569348237525236,0.3039727819049187,False,1.023787812063677,-0.0191176407482868,0.0014453347591447,True,False,True,False
8,K01578.02,10001578,0.968,0.8316032446731126,CONFIRMED,1.2414091691530535,1.1957181690776202,266.2204035107043,54.682524933566256,4477.327423396722,0.3847203002725242,0.4232827720787585,0.7700305554485477,0.910745834113594,False,1.246828757095827,-0.1134920413217917,0.3003397628144995,True,True,True,True
9,K01559.02,10001559,1.0,0.8221792841596568,CONFIRMED,0.9619307426125284,1.9970150999001832,302.6421875283172,43.160368004126326,4181.92086851777,0.5383671276894288,,0.9849839835145608,0.967315643603767,False,1.2362963349196958,-0.0065708313580217,0.0194500163611012,True,True,True,True
10,K00166.01,10000166,1.0,0.8189964050727193,CONFIRMED,1.178125649115765,1.774285620104181,293.8258582937316,50.950581439937054,4357.819346626169,0.5151132631730018,,0.8570693491101097,0.8185872661679409,False,1.1856632728076748,-0.0669840360495815,0.0670884685443964,True,True,True,True
